Date,Product,Category,Sales
01-01-2022,Product A,Category 1,100
01-01-2022,Product B,Category 1,200
01-01-2022,Product C,Category 2,150
02-01-2022,Product A,Category 1,120
02-01-2022,Product B,Category 1,220
02-01-2022,Product C,Category 2,160
03-01-2022,Product A,Category 1,150
03-01-2022,Product B,Category 1,250
03-01-2022,Product C,Category 2,200
04-01-2022,Product A,Category 1,130
04-01-2022,Product B,Category 1,210
04-01-2022,Product C,Category 2,170
05-01-2022,Product A,Category 1,140
05-01-2022,Product B,Category 1,240
05-01-2022,Product C,Category 2,180
06-01-2022,Product A,Category 1,160
06-01-2022,Product B,Category 1,230
06-01-2022,Product C,Category 2,190
07-01-2022,Product A,Category 1,180
07-01-2022,Product B,Category 1,250
07-01-2022,Product C,Category 2,220
08-01-2022,Product A,Category 1,200
08-01-2022,Product B,Category 1,270
08-01-2022,Product C,Category 2,250
09-01-2022,Product A,Category 1,220
09-01-2022,Product B,Category 1,290
09-01-2022,Product C,Category 2,280
10-01-2022,Product A,Category 1,240
10-01-2022,Product B,Category 1,310
10-01-2022,Product C,Category 2,300
